r_export,python_name,status,module,signature
recalibrate_gazepoint_gaze,recalibrate_gazepoint_gaze,native,misc,"(data, x_col=None, y_col=None, target_x=0.5, target_y=0.5, method='offset', output_x='x_recalibrated', output_y='y_recalibrated', **kwargs)"
recommend_gazepoint_exclusions,recommend_gazepoint_exclusions,native,qc,"(data, participant_col=None, trial_col=None, validity_col=None, x_col=None, y_col=None, pupil_col=None, artifact_col=None, min_trial_samples: 'int' = 20, max_trial_missing_prop: 'float' = 0.5, max_trial_artifact_prop: 'float' = 0.5, min_participant_trials: 'int' = 1, min_participant_valid_trials: 'int' = 1, max_participant_missing_prop: 'float' = 0.5, max_participant_artifact_prop: 'float' = 0.5, require_both_gaze_coordinates: 'bool' = True, name: 'str' = 'gazepoint_exclusions', **kwargs) -> 'dict[str, Any]'"
recommend_gazepoint_model_family,recommend_gazepoint_model_family,native-adapted,stats,"(data, outcome_col=None, **kwargs) -> 'pd.DataFrame'"
reconstruct_gazepoint_binocular_pupil,reconstruct_gazepoint_binocular_pupil,native,pupil,"(data, left_col=None, right_col=None, method='linear_regression', output_left='left_pupil_reconstructed', output_right='right_pupil_reconstructed', combined_col='pupil_combined') -> 'pd.DataFrame'"
regress_gazepoint_pupils,regress_gazepoint_pupils,native,pupil,"(data, left_col=None, right_col=None, direction='right_from_left') -> 'dict[str, Any]'"
report_gazepoint_cluster_permutation,report_gazepoint_cluster_permutation,native-adapted,stats,(result) -> 'str'
report_gazepoint_face_qc,report_gazepoint_face_qc,native,reporting,(data) -> 'str'
report_gazepoint_missingness,report_gazepoint_missingness,native,reporting,(data) -> 'str'
report_gazepoint_multiverse,report_gazepoint_multiverse,native,reporting,(data) -> 'str'
report_gazepoint_phase_coverage,report_gazepoint_phase_coverage,native,reporting,(data) -> 'str'
report_gazepoint_qc_overview,report_gazepoint_qc_overview,native,reporting,(data) -> 'str'
run_gazepoint_aoi_multiverse,run_gazepoint_aoi_multiverse,native-adapted,stats,"(data, specifications=None, **kwargs) -> 'pd.DataFrame'"
run_gazepoint_cluster_permutation,run_gazepoint_cluster_permutation,native-adapted,stats,"(data, value_col='value', time_col='time_bin', condition_col='condition', subject_col='subject', n_permutations: 'int' = 1000, alpha: 'float' = 0.05, random_state: 'int' = 123, **kwargs) -> 'dict[str, Any]'"
run_gazepoint_cluster_permutation_anova,run_gazepoint_cluster_permutation_anova,native-adapted,stats,"(data, **kwargs)"
run_gazepoint_cluster_permutation_covariate_adjusted,run_gazepoint_cluster_permutation_covariate_adjusted,native-adapted,stats,"(data, **kwargs)"
run_gazepoint_cluster_permutation_lmer,run_gazepoint_cluster_permutation_lmer,native-adapted,stats,"(data, **kwargs)"
run_gazepoint_cluster_permutation_parallel,run_gazepoint_cluster_permutation_parallel,native-adapted,stats,"(data, **kwargs)"
run_gazepoint_cluster_threshold_sensitivity,run_gazepoint_cluster_threshold_sensitivity,native-adapted,stats,"(data, thresholds=(1.0, 1.5, 2.0), **kwargs) -> 'pd.DataFrame'"
run_gazepoint_eyetools_fixation_detection,run_gazepoint_eyetools_fixation_detection,native-adapter,interop,"(data, **kwargs)"
run_gazepoint_gazer_crosscheck,run_gazepoint_gazer_crosscheck,native-adapter,interop,"(data, **kwargs)"
run_gazepoint_gpbiometrics_workflow,run_gazepoint_gpbiometrics_workflow,native-adapter,interop,"(data, **kwargs)"
run_gazepoint_model_leave_one_out,run_gazepoint_model_leave_one_out,native-adapted,stats,"(data, fit_function=<function fit_gazepoint_pupil_window_lmm at 0x7f0ace478680>, subject_col=None, **kwargs) -> 'pd.DataFrame'"
run_gazepoint_multidimensional_cluster_permutation,run_gazepoint_multidimensional_cluster_permutation,native-adapted,stats,"(data, **kwargs)"
run_gazepoint_pupil_multiverse,run_gazepoint_pupil_multiverse,native-adapted,stats,"(data, registry=None, **kwargs) -> 'pd.DataFrame'"
run_gazepoint_tfce,run_gazepoint_tfce,native-adapted,stats,"(data, **kwargs)"
run_gazepoint_workflow,run_gazepoint_workflow,native,reporting,"(data=None, export_dir=None, output_dir=None, pattern='\\.csv$', create_report=True, save_plots=False, **kwargs) -> 'dict[str, Any]'"
save_gazepoint_plots,save_gazepoint_plots,native,reporting,"(plots, output_dir, prefix='plot', dpi=150, **kwargs)"
segment_gazepoint_task_phases,segment_gazepoint_task_phases,native,qc,"(data, time_col=None, boundaries=None, labels=None, output_col: 'str' = 'phase') -> 'pd.DataFrame'"
select_gazepoint_adaptive_trial,select_gazepoint_adaptive_trial,native,misc,"(data, score_col=None, strategy='highest_uncertainty', **kwargs)"
select_gazepoint_scanpath_clusters,select_gazepoint_scanpath_clusters,native,aoi,"(data, max_clusters=6, **kwargs) -> 'pd.DataFrame'"
simulate_gazepoint_cluster_timecourse_data,simulate_gazepoint_cluster_timecourse_data,native,simulation,"(n_subjects: 'int' = 16, n_time: 'int' = 80, effect_window=(30, 50), effect_size: 'float' = 0.35, random_state: 'int' = 123) -> 'pd.DataFrame'"
simulate_gazepoint_data,simulate_gazepoint_data,native,simulation,"(n_subjects: 'int' = 6, n_trials: 'int' = 8, samples_per_trial: 'int' = 120, sampling_rate: 'float' = 60.0, random_state: 'int' = 123) -> 'pd.DataFrame'"
simulate_gazepoint_fixations,simulate_gazepoint_fixations,native,events,"(n_fixations: 'int' = 30, samples_per_fixation: 'int' = 8, random_state: 'int' = 123) -> 'pd.DataFrame'"
simulate_gazepoint_pupil_data,simulate_gazepoint_pupil_data,native,simulation,"(n_subjects: 'int' = 12, n_trials: 'int' = 12, samples_per_trial: 'int' = 180, random_state: 'int' = 123, **kwargs) -> 'pd.DataFrame'"
smooth_gazepoint_coordinate,smooth_gazepoint_coordinate,native,pupil,"(data, column=None, output_col=None, window: 'int' = 5, method='moving_average') -> 'pd.DataFrame'"
smooth_gazepoint_pupil,smooth_gazepoint_pupil,native,pupil,"(data, pupil_col=None, output_col=None, window: 'int' = 5, method='moving_average') -> 'pd.DataFrame'"
standardise_gazepoint_names,standardise_gazepoint_names,native,io,(x)
standardize_gazepoint_face_columns,standardize_gazepoint_face_columns,native,face,(data) -> 'pd.DataFrame'
stress_test_gazepoint_binocular_reconstruction,stress_test_gazepoint_binocular_reconstruction,native,pupil,"(data, fractions=(0.05, 0.1, 0.2, 0.3), **kwargs) -> 'pd.DataFrame'"
summarise_aoi_samples,summarise_aoi_samples,native,aoi,"(data, aoi_col=None, group_cols=None) -> 'pd.DataFrame'"
summarise_fixations,summarise_fixations,native,events,"(data, fixation_col='fixation', fixation_id_col='fixation_id', x_col=None, y_col=None, time_col=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_aoi,summarise_gazepoint_aoi,native,aoi,"(data, aoi_col=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_aoi_entries,summarise_gazepoint_aoi_entries,native,aoi,"(data, aoi_col=None, group_cols=None, time_col=None) -> 'pd.DataFrame'"
summarise_gazepoint_aoi_transitions,summarise_gazepoint_aoi_transitions,native,aoi,"(data, aoi_col=None, group_cols=None, time_col=None, include_self=False) -> 'pd.DataFrame'"
summarise_gazepoint_aoi_trial_features,summarise_gazepoint_aoi_trial_features,native,aoi,"(data, aoi_col=None, trial_col=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_aoi_windows,summarise_gazepoint_aoi_windows,native,aoi,"(data, aoi_col=None, time_col=None, windows=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_binocular_reporting,summarise_gazepoint_binocular_reporting,native,pupil,"(data, **kwargs) -> 'dict[str, pd.DataFrame]'"
summarise_gazepoint_clusters,summarise_gazepoint_clusters,native-adapted,stats,(result) -> 'pd.DataFrame'
summarise_gazepoint_coordinate_coverage,summarise_gazepoint_coordinate_coverage,native,qc,"(data, x_col=None, y_col=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_emmeans,summarise_gazepoint_emmeans,native-adapted,stats,"(data, factor=None, outcome=None, group_cols=None, **kwargs) -> 'pd.DataFrame'"
summarise_gazepoint_event_detector_agreement,summarise_gazepoint_event_detector_agreement,native,events,"(data, **kwargs) -> 'pd.DataFrame'"
summarise_gazepoint_event_detector_benchmark,summarise_gazepoint_event_detector_benchmark,native,events,(data) -> 'pd.DataFrame'
summarise_gazepoint_face_quality,summarise_gazepoint_face_quality,native,face,"(data, **kwargs)"
summarise_gazepoint_face_reactivity,summarise_gazepoint_face_reactivity,native,face,"(data, **kwargs)"
summarise_gazepoint_face_windows,summarise_gazepoint_face_windows,native,face,"(data, **kwargs)"
summarise_gazepoint_fixation_trials,summarise_gazepoint_fixation_trials,native,events,"(data, trial_col=None, subject_col=None, duration_col='duration_ms') -> 'pd.DataFrame'"
summarise_gazepoint_fixed_effects,summarise_gazepoint_fixed_effects,native-adapted,stats,"(model, **kwargs)"
summarise_gazepoint_markovchain,summarise_gazepoint_markovchain,native,aoi,"(data=None, sequence=None, **kwargs) -> 'dict[str, Any]'"
summarise_gazepoint_missingness,summarise_gazepoint_missingness,native,qc,"(data, group_cols=None, columns=None) -> 'pd.DataFrame'"
summarise_gazepoint_multiverse_results,summarise_gazepoint_multiverse_results,native-adapted,stats,(data) -> 'pd.DataFrame'
summarise_gazepoint_phase_coverage,summarise_gazepoint_phase_coverage,native,qc,"(data, phase_col='phase', group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_pupil,summarise_gazepoint_pupil,native,pupil,"(data, pupil_col=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_pupil_response_features,summarise_gazepoint_pupil_response_features,native,pupil,"(data, **kwargs)"
summarise_gazepoint_pupil_trial_features,summarise_gazepoint_pupil_trial_features,native,pupil,"(data, pupil_col=None, trial_col=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_pupil_windows,summarise_gazepoint_pupil_windows,native,pupil,"(data, pupil_col=None, time_col=None, windows=None, group_cols=None) -> 'pd.DataFrame'"
summarise_gazepoint_qc_status,summarise_gazepoint_qc_status,native,qc,(qc) -> 'pd.DataFrame'
summarise_gazepoint_scanpath_cluster_stability,summarise_gazepoint_scanpath_cluster_stability,native,aoi,(data) -> 'pd.DataFrame'
summarise_gazepoint_semimarkov,summarise_gazepoint_semimarkov,native,aoi,"(data=None, sequence=None, **kwargs)"
summarise_gazepoint_time_clusters,summarise_gazepoint_time_clusters,native-adapted,stats,(result) -> 'pd.DataFrame'
summarise_gazepoint_workflow,summarise_gazepoint_workflow,native,reporting,(result) -> 'pd.DataFrame'
summarise_tracking_quality,summarise_tracking_quality,native,qc,"(data, validity_col: 'str | None' = None, group_cols=None, x_col: 'str | None' = None, y_col: 'str | None' = None) -> 'pd.DataFrame'"
summarize_gazepoint_coordinate_coverage,summarize_gazepoint_coordinate_coverage,native,qc,"(data, x_col=None, y_col=None, group_cols=None) -> 'pd.DataFrame'"
summarize_gazepoint_face_quality,summarize_gazepoint_face_quality,native,face,"(data, **kwargs)"
summarize_gazepoint_face_reactivity,summarize_gazepoint_face_reactivity,native,face,"(data, baseline=None, group_cols=None, value_cols=None, **kwargs) -> 'pd.DataFrame'"
summarize_gazepoint_face_windows,summarize_gazepoint_face_windows,native,face,"(data, group_cols=None, value_cols=None, **kwargs) -> 'pd.DataFrame'"
summarize_gazepoint_missingness,summarize_gazepoint_missingness,native,qc,"(data, group_cols=None, columns=None) -> 'pd.DataFrame'"
summarize_gazepoint_phase_coverage,summarize_gazepoint_phase_coverage,native,qc,"(data, phase_col='phase', group_cols=None) -> 'pd.DataFrame'"
summarize_gazepoint_pupil_response_features,summarize_gazepoint_pupil_response_features,native,pupil,"(data, **kwargs)"
summarize_gazepoint_qc_status,summarize_gazepoint_qc_status,native,qc,(qc) -> 'pd.DataFrame'
summarize_gazepoint_time_clusters,summarize_gazepoint_time_clusters,native-adapted,stats,(result) -> 'pd.DataFrame'
sync_gazepoint_face_data,sync_gazepoint_face_data,native,face,"(gaze, face, gaze_time_col=None, face_time_col=None, tolerance_ms: 'float' = 50.0, by=None) -> 'pd.DataFrame'"
tidy_gazepoint_model_summary,tidy_gazepoint_model_summary,native-adapted,stats,(model) -> 'pd.DataFrame'
transform_gazepoint_aoi_empirical_logit,transform_gazepoint_aoi_empirical_logit,native,aoi,"(data, success_col='success', total_col='total', adjustment=0.5, output_col='empirical_logit') -> 'pd.DataFrame'"
validate_gazepoint_binocular_reconstruction,validate_gazepoint_binocular_reconstruction,native,pupil,"(data, left_col=None, right_col=None, fraction: 'float' = 0.1, random_state: 'int' = 123, method='linear_regression') -> 'pd.DataFrame'"
validate_gazepoint_master,validate_gazepoint_master,native,qc,"(data, required: 'tuple[str, ...]' = ('subject', 'time')) -> 'dict[str, Any]'"
write_gazepoint_naming_audit,write_gazepoint_naming_audit,native,qc,"(path, names=None) -> 'Path'"
write_gazepoint_outputs,write_gazepoint_outputs,native,reporting,"(results, output_dir, prefix='gazepoint', **kwargs)"
write_gazepoint_performance_benchmark,write_gazepoint_performance_benchmark,native,reporting,"(data, path='performance_benchmark.csv') -> 'Path'"
